3-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,dal,den,54.36731146666667,dal,den,1,,114-116
,gs,lal,85.5567838617284,gs,lal,8,,95-112
,phx,mem,-74.24110282469137,mem,phx,5,,109-100
,okc,mil,57.857856543209884,okc,okc,,2,104-96
,,,,,,,,
3-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lac,-59.07239840987655,lac,atl,2,,107-97
,bos,cle,-58.801178765432105,cle,cle,,2,103-120
,bkn,min,-51.84815189135803,min,min,,1,118-132
,hou,chi,-53.800587861728395,chi,chi,,1,100-108
,det,ny,54.60370640987654,det,ny,1,,89-102
,ind,wsh,-53.129883022222224,wsh,ind,1,,100-99
,utah,no,-53.47825724444445,no,utah,1,,106-94
,sac,sa,-79.53180475061728,sa,sa,,6,94-104
,,,,,,,,
3-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lal,66.40776611358025,atl,atl,,4,106-77
,ny,bos,-70.86739342222222,bos,bos,,5,104-105
,bkn,den,-56.675429876543205,den,bkn,2,,121-120
,ind,cha,-58.10689648395062,cha,cha,,2,101-108
,wsh,cle,-64.53269189135801,cle,cle,,3,83-108
,utah,mem,-64.4904656691358,mem,mem,,3,88-94
,mia,phi,73.59456497777778,mia,mia,,5,112-102
,min,mil,-61.45971697777777,mil,mil,,3,101-116
,phx,orl,-67.89661135802469,orl,phx,4,,102-84
,por,tor,-58.46762315061727,tor,tor,,2,115-117
,,,,,,,,
3-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sac,dal,-60.2986312691358,dal,sac,3,,104-101
,okc,gs,-65.15778581728395,gs,gs,,4,106-121
,phx,mia,-71.24214611358025,mia,mia,,5,92-108
,sa,no,69.24832403950617,sa,sa,,4,94-86
,,,,,,,,
3-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,por,bos,-54.61615208888889,bos,bos,,1,93-116
,cha,phi,68.59961482469137,cha,cha,,4,119-99
,chi,orl,-53.66091836049383,orl,orl,,1,89-102
,lal,den,-63.472944632098766,den,den,,3,107-117
,det,sa,-74.72838791111111,sa,sa,,5,81-97
,no,hou,-55.92590839506173,hou,hou,,2,95-100
,ind,mil,-50.54419991111111,mil,ind,1,,104-99
,okc,lac,-50.88138603456789,lac,lac,,1,98-103
,sac,mem,-62.856021866666666,mem,mem,,3,98-104
,wsh,min,57.65162631111111,wsh,wsh,,2,104-98
,utah,tor,-68.13481129876543,tor,tor,,4,94-104
,,,,,,,,
3-1-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,gs,-72.49862942222222,gs,gs,,5,105-109
,bkn,lal,52.318053422222214,bkn,lal,1,,101-107
,phx,cha,-71.93646889876543,cha,cha,,5,92-126
,chi,mia,-56.30399263209877,mia,mia,,2,111-129
,orl,dal,-54.88674359506173,dal,dal,,1,108-121
,por,ny,60.86284302222222,por,por,,3,104-85
,,,,,,,,
